,hotelname,rating,reviews,star rating, location, nearest, distance nearest,price,tax,tax
0,Grande Collection Hotel & Spa,5.0,322.0,4.0,Old Quarter ,,,D 41,10         ,
1,Diamond Legend Hotel,4.5,1142.0,3.0,Old Quarter ,Old Quarter,840 m ,D 20,5         ,
2,Grand Mercure Hanoi,5.0,197.0,,Cat Linh ,Old Quarter,2.6 km ,D 137,         ,
3,Lotte Hotel Hanoi,5.0,2469.0,5.0,Ba Dinh  ,,,D 93,28         ,
4,Silk Path Hotel Hanoi,4.5,4361.0,4.0,Old Quarter ,,,D 59,13         ,
5,Grande Collection Hotel & Spa,5.0,322.0,4.0,Old Quarter ,,,D 41,10         ,
6,Diamond Legend Hotel,4.5,1142.0,3.0,Old Quarter ,Old Quarter,840 m ,D 20,5         ,
7,Grand Mercure Hanoi,5.0,197.0,,Cat Linh ,Old Quarter,2.6 km ,D 138,         ,
8,Lotte Hotel Hanoi,5.0,2469.0,5.0,Ba Dinh  ,,,D 94,28         ,
9,Silk Path Hotel Hanoi,4.5,4361.0,4.0,Old Quarter ,,,D 59,13         ,
10,Silk Path Boutique Hanoi,5.0,2486.0,4.0,Hoan Kiem ,Old Quarter,1.4 km ,D 57,14         ,
11,Pan Pacific Hanoi,4.5,2464.0,5.0,Ba Dinh  ,Old Quarter,3.5 km ,D 120,32         ,
12,Bonne Nuit Hotel and Spa Hanoi,4.0,94.0,4.0,Old Quarter ,Train Street,620 m ,D 31,9         ,
13,Splendid Star grand hotel and spa,5.0,3316.0,4.0,Old Quarter ,,,D 32,9         ,
14,Fortuna Hanoi Hotel,4.0,401.0,4.0,Ba Dinh,,,D 65,18         ,
15,SOJO Hotel Ga Hanoi,4.5,29.0,4.0,Hoan Kiem ,Old Quarter ,2.2 km ,D 34,8         ,
16,Hanoi Anise Hotel and Spa,5.0,152.0,4.0,Hoan Kiem ,Old Quarter,1.8 km ,D 19,5         ,
17,Grand Vista Hanoi,4.5,161.0,5.0,Ba Dinh,,,D 62,18         ,
18,Thang Long Opera Hotel,4.5,410.0,4.0,Hoan Kiem ,Old Quarter,1.3 km ,D 39,11         ,
19,Dolce by Wyndham Hanoi Golden Lake,4.5,107.0,5.0,Ba Dinh,,,D 119,28         ,
20,Somerset West Point Hanoi,4.5,130.0,5.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),1.5 km ,D 80,21         ,
21,Dream Hotel & Apartment,5.0,227.0,4.0,Nam Đồng,,,D 33,9         ,
22,Somerset Hoa Binh Hanoi,4.5,162.0,4.0,Nghia Tan ,city centre,7.6 km ,D 50,13         ,
23,Haibay hotel,5.0,798.0,4.0,Old Quarter ,,,D 43,11         ,
24,Ken Hotel by Connek,5.0,95.0,4.0,Old Quarter ,,,D 52,12         ,
25,Little Diamond Hotel,4.5,732.0,3.0,Old Quarter ,,,D 16,4         ,
26,Pullman Hanoi Hotel,4.0,1063.0,5.0,Cat Linh ,Old Quarter,3.4 km ,D 105,         ,
27,The Oriental Jade,5.0,2466.0,5.0,Old Quarter ,,,D 121,32         ,
28,Sheraton Hanoi Hotel,4.5,2213.0,5.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),1.4 km ,D 177,         ,
29,Golden Silk Boutique Hotel,4.5,1258.0,4.0,Old Quarter ,,,D 44,10         ,
30,InterContinental Hanoi Westlake,4.5,2951.0,5.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),1.7 km ,D 203,         ,
31,Dragon Hotel,4.0,73.0,3.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),900 m ,D 26,6         ,
32,Wyndham Garden Hanoi,5.0,59.0,4.0,Vạn Phúc ,city centre,11.4 km ,D 50,13         ,
33,Dal Vostro Hotel & Spa,5.0,494.0,4.0,Old Quarter ,Train Street,1.9 km ,D 43,10         ,
34,Aurora Premium Hotel and Spa,5.0,447.0,4.0,Old Quarter ,,,D 37,11         ,
35,Hanoi Paon Hotel & Spa,4.5,295.0,4.0,Old Quarter ,,,D 43,13         ,
36,Acoustic Hotel & Spa,5.0,693.0,4.0,Hoan Kiem ,Old Quarter ,1.5 km ,D 49,12         ,
37,My Moon Hotel,4.5,486.0,3.0,Hoan Kiem ,Old Quarter,1.9 km ,D 28,7         ,
38,Bespoke Trendy Hotel Hanoi (formerly La Siesta Trendy),5.0,4369.0,4.0,Old Quarter ,,,D 60,17         ,
39,Hanoi La Mejor Hotel & Sky Bar,5.0,3354.0,4.0,Old Quarter ,Old Quarter,640 m ,D 43,11         ,
40,Somerset Grand Hanoi,4.5,1177.0,5.0,Hoan Kiem ,Old Quarter,1.5 km ,D 86,26         ,
41,Elegant Suites Westlake,4.5,259.0,5.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),820 m ,D 70,17         ,
42,La Sinfonia Citadel hotel and Spa,5.0,1043.0,4.0,Hoan Kiem ,Old Quarter ,1.5 km ,D 103,28         ,
43,San Premium Hotel,5.0,336.0,4.0,Old Quarter ,Old Quarter,590 m ,D 44,11         ,
44,Hai Bay Hotel & Restaurant,5.0,799.0,4.0,Old Quarter ,,,D 41,9         ,
45,Hyatt Regency West Hanoi,4.5,773.0,5.0,Mỹ Đình 2 ,city centre,10.5 km ,D 107,         ,
46,Hanoi Royal Palace Hotel 2,4.5,2235.0,4.0,Old Quarter ,,,D 53,         ,
47,Hanoi La Storia Hotel,5.0,338.0,3.0,Old Quarter ,Old Quarter,720 m ,D 48,11         ,
48,Hanoian Central Hotel & Spa,5.0,430.0,4.0,Old Quarter ,Old Quarter,920 m ,D 51,13         ,
49,La Palm Hotel,4.5,361.0,3.0,Old Quarter ,Old Quarter,730 m ,D 44,11         ,
50,Le Jardin Hotel Haute Couture,5.0,282.0,4.0,Ba Dinh  ,Old Quarter,2.4 km ,D 55,         ,
51,Mayflower Hotel Hanoi,5.0,265.0,3.0,Old Quarter ,Old Quarter,820 m ,D 20,6         ,
52,Melia Hanoi Hotel,4.5,2827.0,5.0,Hoan Kiem ,Old Quarter,2.2 km ,D 103,26         ,
53,The Chi Boutique Hotel Hanoi,5.0,870.0,4.0,Old Quarter ,,,D 53,15         ,
54,Memory Legends Hotel,5.0,540.0,3.0,Hoan Kiem ,Old Quarter,1.4 km ,D 29,7         ,
55,Hotel du Parc Hanoi,4.5,145.0,5.0,Hai Ba Trung ,Old Quarter,3.4 km ,D 82,20         ,
56,Hanoi Inner Hotel,5.0,874.0,3.0,Old Quarter ,,,D 25,6         ,
57,Serene Boutique Hotel & Spa,5.0,968.0,4.0,Old Quarter ,Old Quarter,640 m ,D 35,         ,
58,La Beaute de Hanoi Hotel,5.0,1655.0,3.0,Old Quarter ,Old Quarter,690 m ,D 37,9         ,
59,Skylark Hotel Hanoi,4.5,685.0,4.0,Hoan Kiem ,Old Quarter,1.6 km ,D 33,10         ,
60,Silk Queen Grand Hotel,4.0,236.0,4.0,Old Quarter ,Old Quarter,630 m ,D 41,11         ,
61,Dragon Pearl Hotel,4.5,353.0,3.0,Hoan Kiem ,Old Quarter,1.6 km ,D 30,7         ,
62,Hanoi Golden Holiday Hotel,5.0,446.0,3.0,Old Quarter ,,,D 35,         ,
63,Hanoi Charming House,4.5,1373.0,2.0,Old Quarter ,,,D 16,4         ,
64,May De Ville Luxury Hotel & Spa,4.0,1060.0,4.0,Old Quarter ,,,D 67,16         ,
65,Hanoi Media Hotel and Spa,5.0,1346.0,4.0,Old Quarter ,Old Quarter,590 m ,D 43,10         ,
66,Golden Art Hotel,5.0,1920.0,3.0,Old Quarter ,Old Quarter,670 m ,D 34,         ,
67,The Ann Hanoi,4.5,926.0,4.0,Hai Ba Trung ,Old Quarter,2.8 km ,D 67,16         ,
68,Hanoi La Palm Premier Hotel&Spa,5.0,2783.0,4.0,Old Quarter ,,,D 43,11         ,
69,La Nueva Boutique Hotel Ha Noi,5.0,1883.0,4.0,Old Quarter ,,,D 67,16         ,
70,Rex Hanoi Hotel,4.5,220.0,4.0,Old Quarter ,Old Quarter,700 m ,D 63,9         ,
71,Hanoi Brilliant Hotel and Spa,5.0,849.0,4.0,Old Quarter ,,,D 79,19         ,
72,Hanoi Garden Hotel & Spa,5.0,377.0,4.0,Old Quarter ,Old Quarter,580 m ,D 45,11         ,
73,The Lapis Hotel,4.5,900.0,4.0,Hoan Kiem ,Old Quarter,2.2 km ,D 54,14         ,
74,Hanoi Sky Hotel,4.5,723.0,3.0,Hoan Kiem ,Old Quarter,1.8 km ,D 23,6         ,
75,Hilton Garden Inn Hanoi,4.5,788.0,4.0,Hoan Kiem ,Old Quarter,2.0 km ,D 92,         ,
76,Hanoi Le Jardin Hotel & Spa,5.0,560.0,4.0,Ba Dinh  ,Old Quarter,2.8 km ,D 47,12         ,
77,Oriental Suite Hotel & Spa,5.0,2929.0,4.0,Old Quarter ,Old Quarter,540 m ,D 45,10         ,
78,Singita Classy Boutique Hotel,5.0,62.0,4.0,Old Quarter ,,,D 42,10         ,
79,Hanoi Tokyo Hotel,,,4.0,Hoan Kiem ,Old Quarter,2.2 km ,D 66,         ,
80,May De Ville Premier Hotel and Spa,4.5,63.0,4.0,Old Quarter ,,,D 62,11         ,
81,Hanoi Ancient Paradise Hotel,4.5,1452.0,3.0,Old Quarter ,Old Quarter,800 m ,D 25,6         ,
82,Hanoi Boutique Hotel and Spa,5.0,235.0,3.0,Old Quarter ,,,D 53,14         ,
83,Blue Hanoi Inn Hotel,5.0,544.0,3.0,Old Quarter ,,,D 22,5         ,
84,Matilda Boutique and Spa Hotel,4.5,61.0,4.0,Old Quarter ,Old Quarter,750 m ,D 60,         ,
85,La Sinfonía Majesty Hotel and Spa,5.0,433.0,3.0,Old Quarter ,Old Quarter,630 m ,D 102,26         ,
86,Hanoi Aria Central Hotel & Spa,5.0,417.0,3.0,Hoan Kiem ,Old Quarter ,1.8 km ,D 20,5         ,
87,Vision Premier Hotel & Spa,4.5,143.0,3.0,Old Quarter ,,,D 26,6         ,
88,Hanoi Nostalgia Hotel & Spa,4.0,136.0,3.0,Old Quarter ,Old Quarter,750 m ,D 35,10         ,
89,San Grand Hotel,5.0,1643.0,4.0,Old Quarter ,Old Quarter,580 m ,D 71,19         ,
90,Kingly Hotel,4.0,31.0,3.0,Old Quarter ,Old Quarter,1.3 km ,D 26,6         ,
91,Silk Queen Hotel Hanoi,3.5,89.0,4.0,Old Quarter ,,,D 44,10         ,
92,Meritel Hanoi,5.0,453.0,4.0,Old Quarter ,,,D 65,15         ,
93,Hanoi Posh Boutique Hotel,4.5,483.0,3.0,Hoan Kiem ,Old Quarter,2.2 km ,D 25,6         ,
94,Super Hotel Candle,4.0,151.0,4.0,Ba Dinh,,,D 43,10         ,
95,Golden Moon Suite Hotel,5.0,481.0,3.0,Old Quarter ,,,D 32,7         ,
96,Lakeside Palace Hotel,4.0,56.0,3.0,Old Quarter ,Train Street,1.9 km ,D 31,8         ,
97,Hotel Garden Queen,4.0,88.0,3.0,Old Quarter ,Old Quarter,640 m ,D 52,12         ,
98,Hanoi Pearl Hotel,4.5,2041.0,4.0,Old Quarter ,Train Street,1.9 km ,D 51,11         ,
99,Lavender Central Hotel & Spa,5.0,3674.0,4.0,Old Quarter ,Old Quarter,630 m ,D 52,         ,
100,La Siesta Premium Hang Be,5.0,2348.0,4.0,Old Quarter ,,,D 132,32         ,
101,O'Gallery Premier Hotel & Spa,5.0,2954.0,4.0,Old Quarter ,,,D 55,12         ,
102,Hanoi E Central Hotel,5.0,1425.0,4.0,Old Quarter ,Old Quarter,720 m ,D 43,10         ,
103,Alisa Hotel & Spa,5.0,716.0,4.0,Old Quarter ,Old Quarter,830 m ,D 30,8         ,
104,Hanoi Crystal Pearl,4.5,25.0,3.0,Old Quarter ,,,D 37,9         ,
